
Tue Jul 14 10:19:18 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:19:19 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:19:20 2020, board: 1, dev: 2, status: On
Tue Jul 14 10:19:21 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:19:22 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:19:23 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:19:35 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:20:31 2020, board: 1, dev: 2, status: Off
Tue Jul 14 18:26:12 2020, board: 1, dev: 2, status: On
Tue Jul 14 18:26:16 2020, board: 1, dev: 1, status: On
Tue Jul 14 18:26:19 2020, board: 1, dev: 3, status: On
Tue Jul 14 18:26:21 2020, board: 1, dev: 4, status: On
Tue Jul 14 18:28:04 2020, board: 1, dev: 1, status: On
Tue Jul 14 18:28:08 2020, board: 1, dev: 4, status: On
Tue Jul 14 18:28:20 2020, board: 1, dev: 2, status: Off
Tue Jul 14 18:28:21 2020, board: 1, dev: 1, status: Off
Tue Jul 14 18:28:47 2020, board: 1, dev: 4, status: Off
Tue Jul 14 18:28:47 2020, board: 1, dev: 4, status: On
Tue Jul 14 18:28:48 2020, board: 1, dev: 4, status: Off
Tue Jul 14 18:28:49 2020, board: 1, dev: 2, status: Off
Tue Jul 14 18:28:49 2020, board: 1, dev: 1, status: Off
Tue Jul 14 18:41:27 2020, board: 1, dev: 1, status: On
Tue Jul 14 18:41:27 2020, board: 1, dev: 1, status: Off
Tue Jul 14 18:48:33 2020, board: 1, dev: 2, status: On
Tue Jul 14 18:48:35 2020, board: 1, dev: 1, status: On
Tue Jul 14 18:48:37 2020, board: 1, dev: 1, status: Off
Tue Jul 14 18:48:38 2020, board: 1, dev: 1, status: On
Tue Jul 14 18:48:38 2020, board: 1, dev: 1, status: Off
Tue Jul 14 18:48:38 2020, board: 1, dev: 1, status: On
Tue Jul 14 18:48:40 2020, board: 1, dev: 1, status: Off
Tue Jul 14 18:48:40 2020, board: 1, dev: 1, status: On
Tue Jul 14 18:48:40 2020, board: 1, dev: 1, status: Off
Tue Jul 14 18:48:42 2020, board: 1, dev: 2, status: Off
Tue Jul 14 18:48:43 2020, board: 1, dev: 3, status: Off
Tue Jul 14 18:49:23 2020, board: 1, dev: 1, status: Off
Tue Jul 14 18:49:24 2020, board: 1, dev: 3, status: Off
Tue Jul 14 18:49:25 2020, board: 1, dev: 4, status: Off
Tue Jul 14 18:49:26 2020, board: 1, dev: 2, status: On
Tue Jul 14 18:49:26 2020, board: 1, dev: 2, status: Off
